M55150_at,X95735_at,U50136_rna1_at,U22376_cds2_s_at,M81933_at,M16038_at,M84526_at,M23197_at,U82759_at,Y12670_at,D49950_at,M27891_at,X59417_at,X52142_at,M28170_at,X17042_at,U05259_rna1_at,Y00787_s_at,M96326_rna1_at,U12471_cds1_at,U46751_at,M80254_at,M92287_at,L13278_at,U09087_s_at,L08246_at,X74262_at,M62762_at,M31211_s_at,M28130_rna1_s_at,D26156_s_at,M63138_at,M31523_at,M57710_at,X15949_at,M69043_at,S50223_at,U32944_at,M81695_s_at,L47738_at,M83652_s_at,X85116_rna1_s_at,M11147_at,Z15115_at,M21551_rna1_at,M19045_f_at,X04085_rna1_at,L49229_f_at,X14008_rna1_f_at,M91432_at,X63469_at,D38073_at,U26266_s_at,J05243_at,M31303_rna1_at,Y08612_at,U20998_at,AF012024_s_at,X56411_rna1_at,U29175_at,HG1612-HT1612_at,M13792_at,D63874_at,U72342_at,X97267_rna1_s_at,X76648_at,U35451_at,Z69881_at,D63880_at,Class
654,298,1124,3105,20,365,20,261,393,600,75,303,3016,107,397,177,9326,333,782,160,1298,20,4778,193,358,543,1372,835,601,292,1595,1410,1320,20,277,1489,268,3349,695,571,20,162,5418,8444,178,382,1057,337,557,767,460,994,289,610,3828,517,1753,257,178,1582,3767,3221,4157,978,2323,1361,408,1766,556,ALL
1283,307,1062,1118,20,624,20,101,118,337,129,1358,3424,20,20,3460,895,5345,368,134,1379,109,2700,31,82,2972,1184,3072,435,2062,822,2325,898,2171,104,6084,346,1002,812,2893,364,169,16000,1920,336,3606,1395,131,2716,814,151,539,288,927,3021,351,1602,46,183,624,2890,10954,11557,324,1238,237,633,2015,476,ALL
1286,309,1398,4543,124,108,20,309,667,574,44,254,7724,20,183,416,628,301,1268,167,1496,20,4926,198,263,485,2221,609,547,20,1452,2789,597,20,91,2281,804,2089,810,2723,20,20,6156,3118,345,2997,823,529,1716,1547,230,1441,447,1697,7247,214,2761,139,166,753,5996,16000,12125,855,1982,1240,912,3556,498,ALL
915,693,942,5467,167,873,20,288,410,716,218,20,3821,190,363,392,5314,241,882,104,1401,20,5403,91,218,740,1051,935,472,20,654,1132,1644,22,403,2178,452,1625,599,731,34,199,7070,4261,374,1331,1655,422,1143,831,314,680,424,425,3780,432,1486,168,131,743,2810,5364,8484,369,3947,992,304,828,1211,ALL
732,713,928,3469,114,686,290,395,119,524,110,20,5216,361,251,7972,5354,93,949,145,1894,139,3440,194,186,2453,1370,1665,661,138,1011,1269,1322,244,416,1094,476,3502,282,649,218,334,9017,3425,321,3069,2000,354,2917,1423,632,950,364,529,3563,596,2298,94,141,626,2206,2837,9575,653,3324,1233,398,1496,820,ALL
691,247,842,3309,56,302,20,58,147,270,33,1168,4194,26,74,597,282,215,910,81,528,46,3179,96,209,375,1306,499,337,23,1584,1854,787,108,46,1513,256,316,711,1858,401,117,6221,1790,44,2850,537,327,3300,430,181,1258,320,1682,4890,220,1013,197,151,1157,3881,16000,5315,449,1710,401,506,2606,485,ALL
853,52,1066,3936,203,325,20,84,735,463,115,20,5528,191,280,403,5146,159,826,122,1747,20,3978,178,144,961,1339,764,309,107,578,2735,946,20,267,2866,208,1530,556,280,255,378,4746,3810,359,1201,6133,354,830,764,213,509,381,386,3330,196,898,188,245,552,3723,6067,6270,638,1488,821,357,473,734,ALL
1238,20,1668,4745,20,244,20,251,248,689,32,20,2073,179,235,140,4048,455,1302,335,1514,20,3293,112,167,404,655,1323,263,20,1024,1962,1917,674,314,2129,310,1042,1281,1716,20,571,7881,6153,364,1947,775,232,1683,752,227,331,53,629,4213,436,1586,61,77,572,4072,3103,4566,361,2215,1012,134,2067,223,ALL
822,20,966,4081,124,273,20,155,258,262,20,336,7782,240,24,848,423,445,1337,131,803,94,7324,198,385,783,3593,1741,978,104,1297,2900,1440,103,210,3862,640,2286,746,2388,521,20,9431,3303,333,2629,633,568,1965,1777,362,1974,869,2760,7230,513,2334,269,205,1776,7439,15235,10061,576,3420,929,982,4461,686,ALL
885,492,1175,1658,89,144,20,167,409,167,54,498,5204,96,20,1094,585,522,82,264,1939,45,2676,20,146,1288,1058,1188,752,20,971,1855,442,252,97,1974,152,934,513,913,20,176,5092,1329,271,2148,463,20,1781,426,47,664,403,1722,5052,114,878,99,119,756,4791,8982,7194,99,723,330,613,1777,721,ALL
680,20,626,2853,46,34,20,140,306,174,38,20,6541,69,20,1343,147,1278,737,195,587,40,6134,36,89,733,953,1870,897,189,1913,1471,617,20,27,2561,441,282,461,2147,20,139,6027,2525,267,969,628,20,833,472,225,884,526,1587,3352,492,2016,132,107,1972,4406,8630,7021,686,703,512,745,2744,551,ALL
412,408,747,551,44,399,41,287,20,258,20,107,846,20,84,5252,2504,3684,1296,104,1347,267,2056,20,37,2095,209,1030,334,1855,329,1763,474,988,20,7901,90,277,494,140,252,530,15280,1277,20,3939,294,20,4009,76,43,314,60,169,2290,119,426,54,20,219,1379,1695,4036,20,672,90,20,291,198,ALL
548,724,706,4746,192,281,20,152,87,201,103,20,7743,269,87,2408,5075,116,160,150,1489,70,10669,170,283,1405,1624,1482,668,20,1593,786,1969,20,588,3602,545,2069,315,556,20,182,6183,6216,268,210,1220,207,93,920,495,1991,673,719,4751,393,2151,89,153,1322,6964,4765,12920,1354,3260,827,810,3578,550,ALL
1157,360,864,1534,77,589,20,145,188,180,72,820,1756,159,155,2525,155,94,838,135,1784,136,1912,188,179,742,2050,892,265,20,1011,2337,686,389,307,1204,570,1613,1030,1483,493,452,13077,3382,20,3633,662,290,3576,606,442,1062,308,859,2346,416,2263,199,206,732,2056,3529,6555,901,5964,679,404,1706,694,ALL
387,938,515,5311,96,854,20,81,99,625,158,76,7288,499,371,2133,5767,29,520,128,2286,135,9211,217,314,1718,1995,1306,898,91,1763,2035,2572,20,747,2859,571,2952,333,1505,114,304,8506,5831,64,735,1990,513,637,1417,522,1030,929,661,3347,651,2901,147,56,1636,3688,9000,11506,905,6147,1426,547,2041,1287,ALL
707,848,825,4326,120,289,20,202,67,330,28,36,6084,260,360,1232,3649,38,478,182,944,20,3345,240,106,623,1625,593,666,73,2065,1910,1439,20,393,1259,235,3110,426,904,20,540,3720,5617,160,637,1143,190,635,869,467,675,698,1034,3207,278,2523,182,225,2076,2976,10227,11089,909,3774,1578,72,3847,475,ALL
1822,926,1837,7155,98,534,20,286,20,784,117,375,2455,214,20,1150,218,282,20,227,1888,184,2360,254,335,1016,3139,2376,374,20,1778,4215,989,20,822,2689,352,2591,588,643,78,1263,12676,3714,363,973,2474,214,817,2031,485,1731,1060,447,6633,623,3297,358,234,917,3182,8469,13775,1024,3511,660,665,8578,883,ALL
738,390,883,1178,89,540,20,141,102,314,99,22,1273,20,195,1232,3339,136,20,157,2111,20,1316,32,119,1198,882,542,516,41,764,711,1186,944,515,2753,20,820,666,669,20,203,9783,1616,333,1263,220,20,1631,954,472,762,358,252,2143,198,954,20,255,453,2209,2091,4845,171,1654,541,726,111,1281,ALL
907,615,1309,3427,82,44,20,155,432,146,101,20,6482,184,285,1519,2696,20,45,290,1983,20,2492,200,91,1010,1459,809,473,20,1448,1346,1224,343,339,815,84,1116,250,1137,20,1074,4453,4692,279,694,1271,45,846,532,156,800,310,1041,2291,251,1146,65,82,1660,2580,2273,8499,493,2352,1225,95,576,256,ALL
860,827,817,6870,120,616,20,180,359,636,22,205,7629,326,470,180,8148,119,20,70,2731,20,6464,338,268,1969,4253,2475,1487,242,2191,2273,4555,950,748,2233,867,5908,284,3810,20,1071,13988,11241,117,888,4004,312,883,3192,629,1158,1047,1717,5933,847,4700,128,308,2174,10857,12217,13830,1224,4281,3081,767,5796,568,ALL
92,68,383,9177,161,447,20,139,149,371,48,20,5746,122,514,1912,2805,118,343,39,1962,34,524,119,20,1377,768,1514,688,184,768,545,2707,64,201,5193,323,1143,137,1631,82,675,2900,9114,152,447,1781,37,560,896,256,1185,20,604,2306,689,2914,123,183,3707,1535,2973,16000,353,20,1620,600,20,454,ALL
686,122,825,4836,111,239,20,124,160,180,74,20,699,20,95,354,5397,206,678,126,1739,20,3253,20,30,791,176,1977,143,155,1323,949,274,88,48,1026,241,108,401,857,20,177,6074,2572,265,527,350,184,886,70,104,141,20,304,2131,290,1000,20,39,295,4624,1743,9604,128,1075,532,247,1628,43,ALL
803,20,731,3085,22,20,20,108,366,780,43,425,2443,142,53,178,870,146,1177,74,585,30,3796,85,334,596,862,672,376,148,1992,1297,590,20,20,740,493,146,613,813,121,417,3729,1601,20,1820,431,93,1525,321,172,767,395,397,4677,199,1122,98,113,1377,3710,12805,5479,136,834,303,442,1962,613,ALL
803,222,899,5815,20,515,20,102,770,655,168,20,3840,277,418,1687,5955,185,734,205,1571,209,4093,191,204,868,1409,1235,531,20,1210,1343,1823,20,598,2785,502,2457,513,899,20,300,6023,6110,392,71,3970,424,108,992,494,1145,651,642,3182,569,2298,93,232,1456,5079,5981,12848,740,1826,1463,621,1306,298,ALL
842,700,1171,1872,113,50,20,203,267,402,20,20,3878,20,391,3711,5070,9270,502,144,1395,20,1689,20,81,635,489,933,481,4271,738,1371,553,560,163,14011,301,1081,439,223,20,559,13278,2242,305,515,747,77,512,363,162,521,166,295,2910,292,498,153,95,404,2302,2425,5613,20,1168,416,116,892,231,ALL
514,433,805,3265,52,268,20,128,59,190,117,66,3262,105,495,1750,8219,183,29,98,1437,20,5204,20,109,827,716,1114,647,29,2143,1330,1909,43,169,2381,101,1480,416,759,20,342,4718,3074,330,304,773,20,441,636,348,700,190,1122,2648,424,753,121,297,1982,2106,3323,10573,295,4314,1134,96,2452,306,ALL
561,20,1286,2877,20,483,20,84,20,273,20,34,1810,109,219,291,4184,150,176,143,990,20,2581,79,139,190,500,20,145,20,1245,2127,1076,20,104,569,20,1283,430,899,20,20,4110,5374,64,2331,115,170,1976,419,217,456,201,209,2818,517,672,90,291,949,3307,2617,4578,220,1813,477,291,760,433,ALL
1811,2947,2402,1126,179,1674,4830,1450,652,1807,355,1537,782,20,20,8518,711,8054,13464,293,4719,59,498,20,34,3127,279,3236,153,3693,302,5587,299,394,35,13338,56,427,1702,20,1338,727,12406,2271,405,4259,5878,20,4192,263,181,238,282,206,1647,200,407,28,121,454,624,911,5817,20,270,110,208,784,226,AML
1406,1050,2137,880,214,735,20,781,262,1038,295,1481,490,20,67,3628,654,216,1233,322,1106,72,165,20,48,853,336,1125,20,20,201,3909,389,72,79,2306,168,288,1137,218,565,1639,7855,1082,327,2517,2140,38,2327,226,74,382,43,20,2195,86,529,50,33,391,680,2551,5407,117,1084,209,57,406,20,AML
1707,4863,3965,473,179,2727,4573,970,618,1051,283,16000,1648,20,20,10603,20,16000,7955,337,5868,692,1309,22,74,6159,194,4647,88,11517,667,12358,126,5940,71,16000,20,295,2014,20,2892,1096,16000,2007,485,15519,5162,20,15761,87,202,245,64,20,1885,209,697,29,20,412,1031,1297,4490,259,20,358,214,118,410,AML
2072,2612,2539,186,330,2399,6759,408,805,1064,311,13296,528,20,20,8479,218,16000,9933,417,6903,672,852,20,52,5503,130,3808,139,12979,697,7125,190,6247,20,12115,20,224,2683,20,157,3397,16000,802,415,13221,2887,93,13087,183,20,267,20,87,1359,253,786,98,81,393,1687,753,3763,20,183,254,149,43,185,AML
1753,1671,2286,680,407,784,1569,275,673,2538,70,1661,99,20,20,1285,251,10043,2676,271,7061,307,1484,20,33,2083,51,3594,75,5072,721,2275,275,6530,64,5902,62,230,974,201,20,4465,16000,939,582,2702,4681,20,1663,111,20,342,20,71,1291,199,845,41,94,286,1367,2708,6604,20,664,550,195,214,118,AML
1929,2224,1641,794,313,679,20,316,822,733,297,1073,1203,20,20,7858,20,15202,548,238,7113,373,1283,20,91,6718,596,2702,300,10476,893,4214,353,159,64,13895,107,384,1147,449,1179,2274,16000,1238,456,2475,3077,20,1953,323,28,832,151,102,2176,292,824,43,20,429,2194,2493,6978,32,739,214,209,172,279,AML
1647,3348,2545,1312,243,1305,6569,555,1137,1296,190,6962,1561,20,35,8859,412,3104,16000,217,3717,550,1525,20,58,1766,309,1736,237,1653,624,2558,279,5824,35,1908,150,179,478,65,868,2195,11012,967,259,3605,6000,20,4063,125,178,294,66,237,1486,151,1174,50,20,314,460,487,4206,173,574,514,29,371,277,AML
2112,6218,3818,485,229,2694,7372,1130,1050,647,326,14555,1628,20,20,11003,343,6506,9994,213,11618,425,811,20,20,4915,313,3553,100,2971,388,8793,250,7142,20,11990,20,651,2279,172,1537,478,16000,1365,487,6268,5065,60,6612,158,20,148,20,238,730,173,440,20,84,208,1874,769,4642,118,20,147,160,292,136,AML
1555,1548,2943,408,132,1028,4833,1338,1157,1085,197,7238,1784,20,20,5849,272,2096,7791,283,1262,82,1032,60,61,2056,275,3255,192,688,432,4630,381,499,23,9866,31,469,754,239,1675,983,12276,1568,554,7035,7260,56,7821,295,115,309,20,57,3719,119,651,45,20,385,767,1614,3998,20,788,159,223,248,321,AML
1514,3297,2535,1047,230,2680,141,774,1083,1467,259,12339,1214,20,20,3259,306,12715,976,264,3088,619,1024,34,50,4136,311,4249,339,7108,706,7373,671,1853,59,10899,210,328,978,683,657,1017,16000,1843,462,7969,2027,88,5778,368,136,259,192,628,1985,185,660,68,127,688,2856,4148,2793,249,2009,165,293,618,283,AML
2693,3482,1373,335,282,3223,2000,443,1099,1513,100,3654,1583,20,20,8855,20,16000,4108,304,5749,864,1827,20,20,4126,20,1871,59,13176,736,2771,200,6704,33,14090,20,133,1690,153,562,1999,16000,936,672,13195,3072,20,13076,110,63,256,20,20,1528,172,580,20,47,248,2205,1446,2823,380,146,307,73,20,151,AML
627,178,1122,2037,94,164,20,168,67,465,214,20,4646,20,67,33,12968,741,627,20,687,20,3633,67,94,1018,176,1738,475,335,4048,951,1484,20,171,7285,43,306,393,837,135,41,6288,4101,20,912,847,181,803,335,321,335,306,786,5308,333,359,111,427,2112,4057,4142,5726,20,1178,637,181,2131,166,ALL
503,105,1016,1497,27,797,20,244,68,639,234,68,2141,81,437,1269,1813,200,827,411,582,45,522,216,20,128,490,708,251,166,879,1008,606,282,275,2210,373,759,802,180,1030,286,3412,2427,363,541,784,178,480,382,225,472,136,994,2364,338,805,20,20,1323,1585,1462,3358,749,708,860,269,320,20,ALL
1565,92,64,2105,371,265,20,154,472,450,35,250,3090,20,20,1045,4750,1012,344,649,3181,179,5358,100,135,1726,678,2274,362,222,1140,1107,1751,4508,113,9757,127,727,772,273,20,2682,10245,2003,199,4259,5517,123,2635,553,157,543,138,233,2158,471,745,109,116,826,3600,2208,7074,217,919,539,136,1681,376,ALL
767,399,1141,2805,224,313,203,287,176,342,191,107,3198,113,20,2450,2559,197,851,75,1443,20,1338,176,100,1092,1903,1828,493,20,466,1405,1052,527,264,1128,239,2582,163,575,252,678,6421,2893,235,1040,1876,109,983,638,380,853,632,510,3042,157,1803,69,113,613,2425,3681,8670,590,1836,546,42,1748,741,ALL
927,805,769,6996,143,178,20,222,353,535,51,20,10565,213,275,1537,5632,96,350,194,3187,60,8921,461,192,1415,2123,1946,951,20,1355,1642,2428,185,778,4069,776,3482,216,603,170,387,10431,9908,302,203,1976,20,298,1340,449,1587,703,598,3994,648,2627,204,188,1475,7275,7756,11744,1892,4594,1627,48,3079,579,ALL
894,20,1390,2753,20,390,20,390,20,396,128,394,5279,297,457,690,9288,198,217,86,2098,20,4174,119,213,521,424,417,356,20,1816,2622,1467,20,141,5845,20,1146,478,763,20,450,3219,4020,404,2421,521,20,2081,799,172,733,20,861,5423,498,670,125,243,1353,2787,4813,7533,66,2114,464,189,2427,391,ALL
181,252,428,4240,173,491,20,73,198,203,20,20,3686,331,84,1183,3627,20,699,154,1111,31,6400,118,114,961,1258,1188,616,150,1147,1208,1479,20,198,2842,167,1657,195,770,20,411,4639,4306,20,1141,2216,64,1167,707,184,929,457,615,2678,428,1797,173,100,1033,3367,4714,8218,479,3714,668,417,1477,867,ALL
1165,20,646,3821,355,223,20,88,242,389,43,20,3619,122,420,7064,3115,93,2235,20,1288,26,3598,84,26,612,699,951,329,20,605,1502,2148,1841,233,1062,274,1802,230,439,20,1745,8790,2600,69,4329,3033,48,4451,562,115,737,20,853,2023,252,1288,134,74,937,2271,3922,4675,341,2004,629,108,557,586,ALL
441,20,188,3686,314,252,20,128,54,244,97,502,5420,378,180,155,11999,20,330,183,974,29,5600,20,200,554,1236,1393,710,109,1749,1169,1955,72,68,2208,216,2345,128,579,20,121,5841,3423,38,1424,1105,69,1529,575,287,898,750,773,4112,346,1964,91,77,1691,5083,1850,6619,320,1934,800,552,1577,560,ALL
309,20,470,2943,445,87,20,117,46,466,142,78,3770,218,32,1327,4200,149,621,278,726,20,7477,86,32,3889,555,1062,467,80,795,1551,1275,54,205,4443,236,1407,143,444,48,400,9981,2886,165,550,1058,72,310,747,228,889,348,382,2462,264,739,65,131,479,2621,4662,3351,78,2532,679,27,530,462,ALL
385,28,591,2809,222,173,20,37,103,180,80,49,3972,83,313,283,3403,20,173,160,938,66,6841,69,77,1524,384,586,475,20,521,1750,980,20,49,4024,177,798,177,570,106,20,10026,2955,20,746,804,158,701,392,194,674,488,443,1520,283,431,99,80,438,2388,2931,2932,372,3331,457,284,1103,368,ALL
360,43,682,2178,301,426,20,111,51,86,20,239,2962,86,266,348,4896,236,703,185,795,20,1814,117,43,2111,490,1025,348,154,693,1243,1277,81,75,11194,106,1072,334,853,142,167,6574,2490,30,2445,812,89,2052,334,213,519,100,344,1229,349,524,77,69,1002,1768,3765,3903,85,5598,533,252,1004,440,AML
310,509,931,306,170,190,20,130,20,396,105,20,1076,31,142,1128,4317,2525,623,134,3367,157,1608,25,110,3808,149,1494,218,1036,1313,1297,828,20,75,15457,20,227,416,1213,20,183,8020,1427,263,751,318,81,876,146,232,144,388,1164,822,353,314,81,232,1504,2097,1826,2673,168,1789,471,239,1918,113,AML
665,417,1029,1374,174,406,20,230,157,754,146,453,3102,62,119,1357,6517,257,185,115,2730,20,2420,20,53,1976,583,2122,493,125,2352,558,1361,43,20,5810,163,325,358,586,20,474,8259,3263,339,499,498,22,343,235,262,347,82,894,4559,502,833,38,234,1926,5088,2694,8199,510,746,986,358,1469,78,AML
859,1931,1049,8402,20,462,115,74,386,648,145,163,6609,352,67,2282,6101,257,575,216,3496,218,6203,179,255,4178,1700,1618,580,245,1131,1576,3923,167,469,5342,439,3869,239,1235,338,1763,8556,5549,140,2258,5407,443,2068,1385,400,688,755,1226,3691,517,1756,202,107,1088,4787,9487,9722,1083,3650,1690,523,2553,734,AML
623,395,1496,5032,182,505,20,252,349,391,84,20,6622,161,155,2128,4634,151,271,120,3860,236,9155,91,208,2570,808,1760,573,68,1187,2065,1794,118,379,5450,607,1569,518,1284,358,316,11688,5098,351,1187,2228,258,969,1012,599,706,476,765,1700,596,2021,227,152,1187,5499,5149,7077,659,8399,1211,146,2698,545,AML
654,2451,993,1358,70,1448,149,247,96,501,53,2090,1438,20,20,4401,707,5830,513,134,2977,257,2474,20,20,3570,581,2601,200,2147,1295,2718,929,2283,58,6227,31,59,778,908,403,362,14938,1799,222,3380,2504,69,3050,140,208,156,234,519,2248,223,727,73,156,1661,7408,1365,4921,331,884,79,243,1918,72,ALL
781,878,861,1188,224,217,20,159,20,244,74,359,2833,327,184,2057,1642,32,1767,107,1130,32,3375,20,20,319,723,1170,439,20,911,768,821,82,82,1105,20,1145,446,287,142,359,6448,2219,194,4975,651,54,3360,339,269,506,644,421,2374,177,444,102,54,751,2626,2506,7437,282,3282,431,289,426,449,ALL
669,162,973,2075,296,185,20,252,20,244,20,553,648,203,620,1102,4941,25,839,239,927,43,2417,33,131,167,834,1246,190,74,1521,1815,1297,270,206,1624,56,1148,314,1009,20,401,5598,2603,46,1910,672,33,1977,496,221,746,432,1359,3038,337,862,136,139,1127,3229,3777,6445,224,2989,502,136,5054,494,ALL
261,373,571,4961,195,147,20,122,20,101,205,180,4913,55,231,4509,2282,20,2724,66,1026,78,7867,144,33,424,818,1769,592,20,950,2577,1087,195,216,854,106,734,325,310,147,378,6456,3739,20,4524,1049,40,3764,155,30,963,338,739,2714,132,472,20,236,846,2620,5104,3451,167,3983,754,94,3868,691,AML
801,2007,541,407,62,1744,7213,1533,218,442,109,16000,1439,20,20,6371,460,593,1676,198,2601,20,1342,20,20,1066,401,3266,248,20,20,13422,139,9988,27,3861,20,882,1021,455,3599,1063,16000,995,354,14911,1551,25,15202,163,65,232,376,294,775,109,267,36,20,250,649,1027,3537,222,651,495,70,541,131,ALL
1534,3870,3568,2585,206,1522,16000,769,300,4460,106,16000,666,20,20,7056,686,8252,13774,334,9754,365,1062,20,20,4766,162,3457,158,3628,1024,5946,388,2280,20,4705,45,177,1212,118,1465,781,16000,2027,308,7728,3823,39,7982,135,112,288,119,109,1320,284,599,31,161,367,4118,6330,4578,439,394,108,76,193,94,AML
1339,2335,2335,376,20,2089,9851,593,677,683,211,2745,764,201,44,6957,382,16000,16000,434,7397,826,583,20,50,3702,148,2120,64,16000,667,2815,110,635,20,11291,20,249,772,446,852,1512,15497,1142,339,5104,5629,52,4980,126,20,108,20,48,1140,112,506,90,30,382,522,1319,2431,34,372,168,160,537,209,AML
1895,5814,2442,1238,274,2735,6595,928,1375,729,346,11686,1683,41,110,7281,20,13144,11036,175,6793,440,1451,38,45,2996,148,3427,70,9620,802,6223,197,1214,202,15105,48,185,2599,578,633,1846,16000,1456,342,7148,3852,48,6808,225,20,212,20,135,1079,166,530,20,20,190,815,1243,2365,20,348,176,82,219,164,AML
1811,4403,1083,2685,216,855,4366,629,280,458,204,10737,1629,430,20,7248,155,20,15196,238,2380,205,626,76,185,1150,784,2860,575,155,640,6179,282,434,194,968,26,2110,696,269,1392,1834,1613,1463,319,1649,1016,213,1867,413,258,740,56,352,3085,157,1666,169,60,578,690,648,7796,494,1016,310,333,1546,335,AML
1147,2287,721,2295,20,444,10120,827,110,318,96,3168,469,20,20,8964,174,127,16000,192,1987,39,851,20,20,455,330,1662,21,20,534,5971,196,76,184,518,20,807,623,21,37,442,14092,1582,253,2048,7671,20,2114,196,64,654,131,21,1428,165,648,66,147,398,397,1004,2678,86,149,222,186,1271,326,AML
1656,2871,2392,562,20,1020,5903,646,340,333,151,14193,420,20,20,3653,698,2132,2571,71,1369,105,751,64,20,1533,105,1489,173,661,534,3913,268,618,182,3857,20,534,995,37,1987,370,16000,1072,646,12731,615,20,11007,129,86,327,114,151,1530,173,154,188,284,151,1696,1845,2070,20,1394,287,71,250,238,AML
880,2122,723,2564,275,385,3717,336,139,391,183,2460,1151,109,20,10449,314,160,16000,176,1210,82,528,20,82,494,919,1933,137,74,371,2442,461,187,228,924,20,1235,444,471,207,3819,7833,1417,20,3267,4558,93,4193,412,104,325,201,336,2285,57,1246,20,296,486,870,1162,4828,307,953,769,290,704,428,AML
1263,3186,1023,934,71,489,2130,526,407,485,175,123,1012,101,20,975,325,13968,2297,132,2518,97,754,20,58,5487,301,2600,201,5864,1092,2776,446,20,112,5286,20,773,509,218,537,834,16000,1153,361,3008,489,60,3017,422,58,225,99,288,1842,307,446,54,179,485,2704,1636,4336,20,1586,23,95,2007,95,ALL
610,2194,2349,427,20,716,4667,560,386,323,218,12735,614,26,20,5086,301,7229,4561,280,2107,96,456,20,20,7003,215,2631,198,2964,440,2172,375,405,152,9837,20,501,345,20,1336,1343,16000,1084,308,2703,339,20,2906,179,105,423,367,220,1856,185,301,70,20,588,1478,2583,4428,20,1357,43,20,675,156,ALL
749,543,775,834,165,460,20,341,217,410,65,2103,2284,20,20,3340,623,621,380,163,1084,332,836,67,49,1141,1082,960,226,130,625,1775,528,534,67,4005,20,993,226,408,562,715,8252,2175,254,1260,2016,20,945,362,217,825,378,230,1306,115,1356,65,20,669,819,1056,4446,106,997,228,115,1162,349,ALL
1476,5949,2502,537,20,2686,7924,1883,359,656,250,16000,1453,20,20,5178,351,9612,2270,256,2381,20,1152,87,76,3392,810,4514,74,2931,832,6215,253,5097,313,16000,20,1425,2063,233,6155,867,16000,1598,93,7202,1251,20,7392,462,544,646,63,20,1716,233,1046,140,117,745,1427,1562,5155,304,20,1018,312,20,318,ALL
3220,4174,3190,3201,20,1499,2705,2204,1116,1152,455,3293,986,20,113,6311,1070,2667,2914,143,3334,20,227,113,119,3074,544,2803,51,73,818,11451,450,243,260,2483,20,393,1580,309,1089,778,6316,3494,534,1097,8970,20,891,273,130,609,162,195,1661,216,718,70,257,878,680,8883,7260,1076,20,249,384,2789,325,ALL
1295,7133,1030,417,20,1837,5249,1605,653,676,333,16000,720,20,132,5314,1742,322,1255,155,4276,20,1957,113,71,2787,748,4346,94,37,349,7323,328,6415,298,6443,20,919,1962,393,3308,428,16000,1554,345,13265,3570,20,14347,384,217,379,326,282,1037,187,1179,141,206,625,1621,2082,5261,597,199,1047,236,1524,333,ALL
